Acc_X,Acc_Y,Acc_Z,Class
1.348489,-9.707482,1.443636,1
1.976629,-10.186628,-0.149277,1
2.160105,-9.124393,1.674244,1
2.009874,-10.226422,0.005569,1
1.969718,-9.218405,1.773034,1
2.015571,-10.173559,0.05786,1
1.808484,-9.39261,1.830351,1
2.174453,-10.032084,0.055409,1
1.985038,-9.115683,1.643761,1
2.393232,-10.252081,0.223044,1
1.689271,-9.10564,1.95315,1
2.297897,-9.96184,0.33786,1
1.65988,-9.155238,2.000391,1
2.207733,-10.396507,0.401656,1
1.650275,-9.302613,1.729338,1
2.16217,-10.168106,0.22679,1
1.941736,-9.292142,1.611905,1
2.051036,-10.138618,0.397059,1
1.575328,-9.333221,1.791295,1
2.452564,-9.79035,0.231937,1
1.551289,-9.605271,1.851462,1
2.548805,-9.69796,0.03591,1
1.760323,-9.178012,2.363054,1
2.140679,-10.266975,-0.04593,1
1.462621,-9.213453,1.688097,1
2.025749,-9.93063,0.093885,1
1.622409,-10.026907,0.299992,1
1.587837,-9.831387,0.663153,1
2.106282,-9.534934,0.822989,1
1.97809,-9.877026,1.100927,1
2.282861,-9.448417,0.872699,1
1.94563,-9.764146,1.386724,1
2.251321,-9.544514,0.795323,1
2.086336,-9.773593,1.185919,1
2.126621,-9.930969,0.492112,1
1.711931,-9.513934,1.495246,1
2.112502,-9.756549,0.705117,1
1.736166,-9.645437,1.509092,1
2.056548,-9.69241,0.603897,1
1.763475,-9.774663,1.317117,1
2.230237,-9.639462,0.621386,1
1.774348,-9.722673,1.434048,1
2.167173,-9.825661,0.649549,1
1.699757,-9.523768,1.525398,1
2.279132,-9.693515,0.76649,1
1.746052,-9.631787,1.277484,1
2.08984,-9.82515,0.649924,1
1.554288,-9.632228,1.558625,1
2.275258,-10.047568,0.423723,1
1.863175,-9.285866,1.653196,1
1.964278,-9.893792,0.333069,1
1.201701,-9.732838,1.591565,1
1.989848,-10.045377,0.260419,1
0.628398,-9.607059,1.142174,1
2.434016,-9.921174,-0.098662,1
1.412513,-9.801525,1.141593,1
2.10192,-9.699988,0.532287,1
1.424693,-9.782001,1.40256,1
2.221495,-9.704763,0.524809,1
1.536624,-9.551202,1.285619,1
2.1086,-9.875668,0.999959,1
1.900712,-9.716938,0.636884,1
1.7042,-9.788581,1.455223,1
2.279525,-9.819444,0.563242,1
1.747904,-9.396104,1.660285,1
1.810596,-10.401599,0.470678,1
1.702062,-8.953405,1.838084,1
1.896965,-10.352893,0.369321,1
1.760581,-9.072958,1.545447,1
2.331813,-10.11595,0.291948,1
1.977941,-9.186953,1.718249,1
1.884348,-10.250341,0.179548,1
1.364138,-9.072969,1.645717,1
2.387703,-9.994275,-0.063172,1
1.70365,-9.347127,1.914762,1
